No,Type,Title
1,Method,Part Segmentation and Motion Estimation for Articulated Objects with Dynamic 3D Gaussians
2,Method,Volumetric Temporal Texture for Smoke Stylization using Dynamic Radiance Fields
3,Method,Learning from Synthetic Data for Visual Grounding
4,Method,MSMVD: Exploiting Multi-scale Image Features via Multi-scale BEV Features for Multi-view Pedestrian Detection
5,Method,Guiding a diffusion model with itself using sliding windows
6,Method,Gen4Gen: Generative Data Pipeline for Generative Multi-Concept Composition
7,Method,SPARTAN: Spatiotemporal Pose-Aware Retrieval for Text-guided Autonomous Navigation
8,Method,Cross-Modal Scene Semantic Alignment for Image Complexity Assessment
9,Method,GC-Font: Few-Shot Font Generation via Global Contextual Feature Modelling
10,Method,DocAttentionRect: Attention-Guided Document Image Rectification
11,Method,Split Matching for Inductive Zero-shot Semantic Segmentation
12,Method,Piezoelectric Acoustic Sensing for Sitting Pose Classification
13,Method,Pointly-Supervised Weak-Shot Semantic Segmentation via Dual Mapping Transfer
14,Method,CMAMRNet: A Contextual Mask-Aware Network Enhancing Mural Restoration Through Comprehensive Mask Guidance
15,Method,ST-GDance: Long-Term and Collision-Free Group Choreography from Music
16,Method,TACTFL: Temporal Contrastive Training for Multi-modal Federated Learning with Similarity-guided Model Aggregation
17,Method,Training-Free Synthetic Data Generation with Dual IP-Adapter Guidance
18,Method,SSNeRF: Sparse View Semi-supervised Neural Radiance Fields with Augmentation
19,Method,RPD-Diff: Region-Adaptive Physics-Guided Diffusion Model for Visibility Enhancement under Dense and Non-Uniform Haze
20,Method,Continual Vision-and-Language Navigation
21,Method,CRCE: Coreference-Retention Concept Erasure in Text-to-Image Diffusion Models
22,Method,STAIN: Smooth Tile-Aware Instance Normalisation for Virtual Staining
23,Method,Prompt-Based Exemplar Super-Compression and Regeneration for Class-Incremental Learning
24,Method,RAPrivacy: a Readable Anonymizer for Privacy Preserving Action Recognition
25,Method,BOTM: Echocardiography Segmentation via Bi-directional Optimal Token Matching
26,Method,Distribution-guided Generative Replay with Semantic Prompts for Class-Incremental Chest X-ray Diagnosis
27,Method,Mask2Act: Predictive Multi-Object Tracking as Video Pre-Training for Robot Manipulation
28,Method,CLAIR: CLIP-Aided Weakly Supervised Zero-Shot Cross-Domain Image Retrieval
29,Method,Uncertainty Diffusion: Parameter-Efficient Depth Refinement via Uncertainty-Guided Diffusion Models
30,Method,Dual-Stream Attention with Multi-Modal Queries for Object Detection in Transportation Applications
31,Method,M$^2$StyleGS: Multi-Modality 3D Style Transfer with Gaussian Splatting
32,Method,Lang4D: Weakly Supervised Learning of 4D Language Splatting
33,Method,SemanticControl: A Training-Free Approach for Handling Loosely Aligned Visual Conditions in ControlNet
34,Method,Spatial-Frequency Domain Aggregation for Visual Place Recognition
35,Method,WTNet: A Weather Transfer Network for Domain-Adaptive All-In-One Adverse Weather Image Restoration
36,Method,Seed-to-Seed: Unpaired Image Translation in Diffusion Seed Space
37,Method,Identity-Motion Trade-offs in Text-to-Video Generation
38,Dataset,Four eyes see more than two: Dataset Distillation with Mixture-of-Experts
39,Method,PSScreen: Partially Supervised Multiple Retinal Disease Screening
40,Method,CellMamba: Adaptive Mamba for Accurate and Efficient Cell Detection
41,Method,LuKAN: A Kolmogorov-Arnold Network Framework for 3D Human Motion Prediction
42,Method,eXtended Multimodal Composite Association Score (xMCAS): A Gender Inclusive Approach to Measurement of Bias in Text-To-Image Diffusion Models
43,Method,Graph Similarity Learning of Floor Plans
44,Method,Proto-FG3D: Prototype-based Interpretable Fine-Grained 3D Shape Classification
45,Method,Efficient Image Restoration via Latent Consistency Flow Matching
46,Method,Bridging Visual-Textual Modalities: Weakly Supervised Histopathology Segmentation
47,Method,LiDAR MOT-DETR: A LiDAR-based Two-Stage Transformer for 3D Multiple Object Tracking
48,Method,Dual-Expert Collaborative Network for Fake News Detection with External Knowledge Integration
49,Method,Unsupervised Video Continual Learning via Non-Parametric Deep Embedded Clustering
50,Method,Capture and Reconstruct 3D Clothed Human from Images
51,Method,REACT: Real-time Efficiency and Accuracy Compromise for Tradeoffs in Scene Graph Generation
52,Method,S$^2$V2V: Training-Free Video-to-Video with Sparse Points and Motion Guidance
53,Method,Revisiting Entropy Minimization for Long-Sequence Continual Test-Time Adaptation
54,Method,ADIR: Adaptive Diffusion for Image Reconstruction
55,Method,Enhancing Visual Tracking by Leveraging High-frequency Information within Event Signals
56,Method,FaceGCD: Generalized Face Discovery via Dynamic Prefix Generation
57,Dataset,B-RIGHT: Benchmark Re-evaluation for Integrity in Generalized Human-Object Interaction Testing
58,Method,Learning Event-guided Exposure-agnostic Video Frame Interpolation via Adaptive Feature Blending
59,Method,CFFlow: An Optical Flow Estimation Hinging on Cross-Frequency Attention
60,Method,CLIP meets DINO for Tuning Zero-Shot Classifier using Unlabeled Image Collections
61,Method,AegisRF: Adversarial Perturbations Guided with Sensitivity for Protecting Intellectual Property of Neural Radiance Fields
62,Method,Multimodal Feature Collaboration and Fusion for Fine-Grained Action Recognition
