No,Type,Title,Authors,Volume,DOI,Paper_Link
74,Dataset,CoverageBench: Evaluating Information Coverage across Tasks and Domains,"Saron Samuel, Andrew Yates, Dawn Lawrie, Ian Soboroff, Trevor Adriaanse, Benjamin Van Durme, Eugene Yang",10.1145/3805712,10.1145/3805712.3808625,https://doi.org/10.1145/3805712.3808625
75,Dataset,Multilingual and Domain-Agnostic Tip-of-the-Tongue Query Generation for Simulated Evaluation,"Xuhong He, To Eun Kim, Maik Fröbe, Jaime Arguello, Bhaskar Mitra, Fernando Diaz",10.1145/3805712,10.1145/3805712.3808626,https://doi.org/10.1145/3805712.3808626
76,Dataset,i <scp>AgentBench</scp> : Benchmarking Sensemaking Capabilities of Information-Seeking Agents on High-Traffic Topics,"Preetam Prabhu Srikar Dammu, Arnav Palkhiwala, Tanya Roosta, Chirag Shah",10.1145/3805712,10.1145/3805712.3808627,https://doi.org/10.1145/3805712.3808627
77,Dataset,<scp>CommonWhy:</scp> A Dataset for Evaluating Entity-Based Causal Commonsense Reasoning in Large Language Models,"Armin Toroghi, Faeze Moradi Kalarde, Scott Sanner",10.1145/3805712,10.1145/3805712.3808628,https://doi.org/10.1145/3805712.3808628
78,Dataset,Total Recall QA: A Verifiable Evaluation Suite for Deep Research Agents,"Mahta Rafiee, Heydar Soudani, Zahra Abbasiantaeb, Mohammad Aliannejadi, Faegheh Hasibi, Hamed Zamani",10.1145/3805712,10.1145/3805712.3808629,https://doi.org/10.1145/3805712.3808629
79,Dataset,Chain of Evidence: Pixel-Level Visual Attribution for Iterative Retrieval-Augmented Generation,"Peiyang Liu, Ziqiang Cui, Xi Wang, Di Liang, Wei Ye",10.1145/3805712,10.1145/3805712.3809540,https://doi.org/10.1145/3805712.3809540
80,Dataset,Corpus-Centric Learning for Zero-Shot Table Retrieval,"Zhou He, Zhifei Pang, Xiu Tang, Sai Wu, Gang Chen",10.1145/3805712,10.1145/3805712.3809544,https://doi.org/10.1145/3805712.3809544
81,Dataset,Debiased Multimodal Personality Understanding through Dual Causal Intervention,"Yangfu Zhu, Zitong Han, Nianwen Ning, Yuting Wei, Yuandong Wang, Hang Feng, Zhenzhou Shao",10.1145/3805712,10.1145/3805712.3809547,https://doi.org/10.1145/3805712.3809547
82,Dataset,Exploring Knowledge Conflicts for Faithful LLM Reasoning: Benchmark and Method,"Tianzhe Zhao, Jiaoyan Chen, Shuxiu Zhang, Haiping Zhu, Qika Lin, Jun Liu",10.1145/3805712,10.1145/3805712.3809650,https://doi.org/10.1145/3805712.3809650
83,Dataset,FAIR-RAG: An End-to-End Framework for Mitigating Political Bias through Fair Retrieval-Augmented Generation,"Jaebeom You, Kisung Lee, Hyuk-Yoon Kwon",10.1145/3805712,10.1145/3805712.3809651,https://doi.org/10.1145/3805712.3809651
84,Dataset,FollowTable: A Benchmark for Instruction-Following Table Retrieval,"Rihui Jin, Yuchen Lu, Ting Zhang, Jun Wang, Kuicai Dong, Zhaocheng Du, Dongping Liu, Gang Wang, Yong Liu, Guilin Qi",10.1145/3805712,10.1145/3805712.3809658,https://doi.org/10.1145/3805712.3809658
85,Dataset,From Existence to Exhaustiveness: Unveiling the Compounding Failures of LLMs in Multi-answer Event Temporal Reasoning,Shaojuan Wu,10.1145/3805712,10.1145/3805712.3809659,https://doi.org/10.1145/3805712.3809659
86,Dataset,"How Generative AI Disrupts Search: An Empirical Study of Google Search, Gemini, and AI Overviews","Riley Grossman, Songjiang Liu, Michael K. Chen, Mike Smith, Cristian Borcea, Yi Chen",10.1145/3805712,10.1145/3805712.3809667,https://doi.org/10.1145/3805712.3809667
87,Dataset,IPQA: A Benchmark for Core Intent Identification in Personalized Question Answering,"Jieyong Kim, Maryam Amirizaniani, Soojin Yoon, Dongha Lee",10.1145/3805712,10.1145/3805712.3809674,https://doi.org/10.1145/3805712.3809674
88,Dataset,Think with Grounding: Curriculum Reinforced Reasoning with Video Grounding for Long Video Understanding,"Houlun Chen, Xin Wang, Guangyao Li, Yuwei Zhou, Yihan Chen, Jia Jia, Wenwu Zhu",10.1145/3805712,10.1145/3805712.3809757,https://doi.org/10.1145/3805712.3809757
89,Dataset,"The LLM Effect on IR Benchmarks: A Meta-Analysis of Effectiveness, Baselines, and Contamination","Moritz Staudinger, Wojciech Kusa, Allan Hanbury",10.1145/3805712,10.1145/3805712.3809901,https://doi.org/10.1145/3805712.3809901
90,Dataset,Attend to Fragments: How Key Information Affects Large Language Models for Factual Inconsistency Detection,"Xindi Guo, Zhen Xie, Patrick H. Chen",10.1145/3805712,10.1145/3805712.3809915,https://doi.org/10.1145/3805712.3809915
91,Dataset,CSyMR: Benchmarking Compositional Music Information Retrieval in Symbolic Music Reasoning,"Boyang Wang, Yash Vishe, Xin Xu, Zachary Novack, Xunyi Jiang, Julian McAuley, Junda Wu",10.1145/3805712,10.1145/3805712.3809923,https://doi.org/10.1145/3805712.3809923
92,Dataset,How Fine-Grained Should a RAG Benchmark Be? A Hierarchical Framework for Synthetic Question Generation,"Chase M. Fensore, Kaustubh Dhole, Jason Fan, Eugene Agichtein, Joyce C. Ho",10.1145/3805712,10.1145/3805712.3809925,https://doi.org/10.1145/3805712.3809925
93,Dataset,M-DaQ: Retrieving Samples with Multilingual Diversity and Quality for Instruction Fine-Tuning Datasets,"Chunguang Zhao, Yilun Liu, Pufan Zeng, Yuanchang Luo, Shimin Tao, Minggui He, Weibin Meng, Song Xu, Chen Liu, Hongxia Ma, Li Zhang, Boxing Chen, Daimeng Wei",10.1145/3805712,10.1145/3805712.3809946,https://doi.org/10.1145/3805712.3809946
94,Method,Towards Evidence-Aware Retrieval and Verification for Scientific Fact-Checking,Xingyu Deng,10.1145/3805712,10.1145/3805712.3808354,https://doi.org/10.1145/3805712.3808354
95,Method,Towards Structurally Robust Cross-Device Federated Recommendation,Aymen Rayane Khouas,10.1145/3805712,10.1145/3805712.3808355,https://doi.org/10.1145/3805712.3808355
96,Method,User Search Behavior and Knowledge Effects in Hybrid Search Environment,Jiaman He,10.1145/3805712,10.1145/3805712.3808356,https://doi.org/10.1145/3805712.3808356
97,Method,Faithful LLM-Assisted Question Answering for Technical and Academic Search,Juan Luis Filgueiras,10.1145/3805712,10.1145/3805712.3808357,https://doi.org/10.1145/3805712.3808357
98,Method,How Should Multimodal Information Be Chunked for Complex Question Answering?,Kangheng Liang,10.1145/3805712,10.1145/3805712.3808358,https://doi.org/10.1145/3805712.3808358
99,Method,Topology-Conditioned Weak Supervision for Scientific Retrieval,Huanwei Xu,10.1145/3805712,10.1145/3805712.3808360,https://doi.org/10.1145/3805712.3808360
100,Method,Evaluating Proactivity in Conversational Search through Anticipatory Retrieval,Mouly Dewan,10.1145/3805712,10.1145/3805712.3808361,https://doi.org/10.1145/3805712.3808361
101,Method,Characterising the Effects of Social Conformity on Information Seeking in Mixed Human-AI Environments,Nethmi Wijesinghe,10.1145/3805712,10.1145/3805712.3808362,https://doi.org/10.1145/3805712.3808362
102,Method,LLMs as Search Engine Components and Users: Infrastructural Adaptations to a Dual Transformation,Francesca Pezzuti,10.1145/3805712,10.1145/3805712.3808363,https://doi.org/10.1145/3805712.3808363
103,Method,Adaptive Personalisation for Effective Conversational Search Systems,Shen Dong,10.1145/3805712,10.1145/3805712.3808364,https://doi.org/10.1145/3805712.3808364
104,Method,From Lab to Reality: An Eye-tracking Study of How Users are Influenced to Search in the Era of GenAI,Sara Allawati,10.1145/3805712,10.1145/3805712.3808365,https://doi.org/10.1145/3805712.3808365
105,Method,<scp>MuseKG:</scp> An Interactive Knowledge Graph Over Museum Collections,"Jinhao Li, Jianzhong Qi, Soyeon Caren Han, Eun-Jung Holden",10.1145/3805712,10.1145/3805712.3808366,https://doi.org/10.1145/3805712.3808366
106,Method,ESCOMIC: User Adaptive <i>Ex</i> plainable Search for <i>Comic</i> Books,"Suraj Shashidhar, Sayantan Polley, Soumit Roy, Andreas Nürnberger",10.1145/3805712,10.1145/3805712.3808367,https://doi.org/10.1145/3805712.3808367
107,Method,<scp>Peerispect</scp> : Claim Verification in Scientific Peer Reviews,"Ali Ghorbanpour, Soroush Sadeghian, Alireza Daghighfarsoodeh, Sajad Ebrahimi, Negar Arabzadeh, Seyed Mohammad Hosseini, Ebrahim Bagheri",10.1145/3805712,10.1145/3805712.3808368,https://doi.org/10.1145/3805712.3808368
108,Method,RecNextEval: A Reference Implementation for Temporal Next-Batch Recommendation Evaluation,"Tze-Kean Ng, Joshua Teng-Khing Khoo, Aixin Sun",10.1145/3805712,10.1145/3805712.3808369,https://doi.org/10.1145/3805712.3808369
109,Method,TRACE: A Conversational Framework for Sustainable Tourism Recommendation with Agentic Counterfactual Explanations,"Ashmi Banerjee, Adithi Satish, Wolfgang Wörndl, Yashar Deldjoo",10.1145/3805712,10.1145/3805712.3808370,https://doi.org/10.1145/3805712.3808370
110,Method,SOMIN: Agentic AI for Automating Professional Visibility and Countering Content Homogenization,"Aleksandr Farseev, Kirill Lepikhin, Kevin Manuel, Maksim Gorodilov, Zhao Kui, Ilya Makarov, Jaime Francisco Maldonado, Ian Cassidy, Ronan Byrne",10.1145/3805712,10.1145/3805712.3808371,https://doi.org/10.1145/3805712.3808371
111,Method,Labadain Chat: A Conversational Agent for the Tetun Language,"Gabriel de Jesus, Sérgio Nunes",10.1145/3805712,10.1145/3805712.3808372,https://doi.org/10.1145/3805712.3808372
112,Method,FactOWL: A Cost-Efficient Tool for Long-Form Factuality Evaluation,"Andrey Sakhovskiy, Nikita Sushko, Maria Marina, Vasily Konovalov, Elena Tutubalina, Alexander Panchenko, Pavel Braslavski",10.1145/3805712,10.1145/3805712.3808373,https://doi.org/10.1145/3805712.3808373
113,Method,C <sup>3</sup> Flow: SIMD-Style Concurrent Claude Code Workflow for Scaling Deep Research,"Yunfan Gao, Xinyi Huang, Yijie Zhong, Zhidong Fan, Zhengke Gui, Lei Liang, Yun Xiong, Haofen Wang",10.1145/3805712,10.1145/3805712.3808374,https://doi.org/10.1145/3805712.3808374
114,Method,"WISE: A Multimodal Search Engine for Visual Scenes, Audio, Objects, Faces, Speech, and Metadata","Prasanna Sridhar, Horace Lee, David M. S. Pinto, Andrew Zisserman, Abhishek Dutta",10.1145/3805712,10.1145/3805712.3808375,https://doi.org/10.1145/3805712.3808375
115,Method,MCP Servers for Pyserini and RankLLM: Enabling Agentic Retrieval-Augmented Generation,"Yijun Ge, Zibo Guo, Sahel Sharifymoghaddam, Jimmy Lin",10.1145/3805712,10.1145/3805712.3808376,https://doi.org/10.1145/3805712.3808376
116,Method,PatentMerit: A Holistic System for In-depth Technology Understanding,"Tianxiang Xie, Jingxuan Wu, Jiaying Liu, Junxiang Zhang, Shuo Yu",10.1145/3805712,10.1145/3805712.3808377,https://doi.org/10.1145/3805712.3808377
117,Method,H-MAPS: Hierarchical Memory-Augmented Proactive Search Assistant for Scientific Literature,"Koji Nishikawa, Makoto P. Kato",10.1145/3805712,10.1145/3805712.3808378,https://doi.org/10.1145/3805712.3808378
118,Method,T-RADAR: Simulating Trademark Examination as an Interactive Retrieval Interface for Conflict Risk Assessment,"Yongdeuk Seo, Noah Lee, Hyun-seok Min, Sungchul Choi",10.1145/3805712,10.1145/3805712.3808379,https://doi.org/10.1145/3805712.3808379
119,Method,XFoodRec: An Explainable Mobile Recommender for Personalized Healthy Eating,"Amir Mollazadeh, Mourad Oussalah, Mehrdad Rostami",10.1145/3805712,10.1145/3805712.3808380,https://doi.org/10.1145/3805712.3808380
120,Method,SLeDoC: System for Legal Document Comparison,"Elisei Rykov, Nikolay Ivanov, Kseniia Petrushina, Maria Bandulevich, Valentin Malykh, Vasily Konovalov, Alexander Panchenko, Ilseyar Alimova",10.1145/3805712,10.1145/3805712.3808381,https://doi.org/10.1145/3805712.3808381
121,Method,IR Lens: A Tool for Interpreting Cross-Encoder Models,"Mihai Branga-Peicu, Mathias Vast, Basile Van Cooten, Laure Soulier, Jules Françoise, Benjamin Piwowarski, Baptiste Caramiaux",10.1145/3805712,10.1145/3805712.3808382,https://doi.org/10.1145/3805712.3808382
122,Method,Visual RAG at Scale: Tile-Level Spatial Pooling for Efficient Multi-Vector Document Retrieval,Ara Yeroyan,10.1145/3805712,10.1145/3805712.3808383,https://doi.org/10.1145/3805712.3808383
123,Method,Auto-ARGUE: LLM-Based Report Generation Evaluation,"William Walden, Marc Mason, Orion Weller, Laura Dietz, John M. Conroy, Neil Molino, Hannah Recknor, Bryan Li, Gabrielle Liu, Yu Hou, Dawn Lawrie, James Mayfield, Eugene Yang",10.1145/3805712,10.1145/3805712.3808384,https://doi.org/10.1145/3805712.3808384
124,Method,MathMex-PDF: Towards Accessible Visual Mathematics,"Nathaniel Serrano, Lucas Matheson, Clayton Durepos, Behrooz Mansouri",10.1145/3805712,10.1145/3805712.3808386,https://doi.org/10.1145/3805712.3808386
125,Method,ATVG: Agentic System for Factually Grounded Travel Advertisement Video Generation,"Byung Eun Jeon, Xiao Bai, Wen Zhang, Jinchao Li",10.1145/3805712,10.1145/3805712.3808387,https://doi.org/10.1145/3805712.3808387
126,Method,MonacGraph: A Monadic Second-Order Logic Extended Graph Database System with Community-Aware Storage,"Yuntao Jin, Songyao Wang, Chaokun Wang",10.1145/3805712,10.1145/3805712.3808388,https://doi.org/10.1145/3805712.3808388
127,Method,A Demonstration of WikiRAG: An Evidence-based Link Prediction for Wikidata with Retrieval Augmented Generation,"Rohan Sabu, Ola El Khatib, Djellel Difallah",10.1145/3805712,10.1145/3805712.3808389,https://doi.org/10.1145/3805712.3808389
128,Method,DPEO: Dynamic Preference Evolution Optimization for Self-Evolving CTR Prediction,"Kun Yao, Congcong Liu, Ziheng Ni, Wenlong Chen, Changping Peng, Ching Law",10.1145/3805712,10.1145/3805712.3808390,https://doi.org/10.1145/3805712.3808390
129,Method,Behavioral Feature Boosting via Substitute Relationships for E-commerce Search,"Chaosheng Dong, Michinari Momma, Yijia Wang, Yan Gao, Yi Sun",10.1145/3805712,10.1145/3805712.3808391,https://doi.org/10.1145/3805712.3808391
130,Method,Cross-Stage Signal Propagation for Negative Filtering in Multi-Stage Ad Delivery,"Min Zhang, Ganlin Song, Dong Liang, Lizhang Qin, Chao Ma",10.1145/3805712,10.1145/3805712.3808392,https://doi.org/10.1145/3805712.3808392
131,Method,Gesture Clustering for Real-Time User Disentanglement in Shared-Account Recommendation,"Huiying Hu, Xinlang Yue, Kexin Yi, Lingzhen Xu, Yangyi Fang, Muyang Li, Yongqi Liu, Kaiqiao Zhan",10.1145/3805712,10.1145/3805712.3808393,https://doi.org/10.1145/3805712.3808393
132,Method,LLM-Click Agreement: Harmonizing Implicit Feedback and Semantic Judgments for Enterprise Search,"Avinash Kumar, Hardi Rathod, Rohan Mallick, Swarnangsu Acharyya",10.1145/3805712,10.1145/3805712.3808394,https://doi.org/10.1145/3805712.3808394
133,Method,When &amp; How to Write for Personalized Demand-aware Query Rewriting in Video Search,"Cheng Cheng, Chenxing Wang, Aolin Li, Haijun Wu, Huiyun Hu, Juyuan Wang, Dongliang Liao",10.1145/3805712,10.1145/3805712.3808395,https://doi.org/10.1145/3805712.3808395
134,Method,SkyDistill: Navigating Fuzzy Flight Search Ranking via Precise Intent Distillation,"Maolei Huang, Shuhan Song, Huawei Cao",10.1145/3805712,10.1145/3805712.3808396,https://doi.org/10.1145/3805712.3808396
135,Method,PCANet: Price Change Aware Framework for Mitigating Inconsistencies in Large-Scale Ranking Systems,"Maolei Huang, Shuhan Song, Huawei Cao",10.1145/3805712,10.1145/3805712.3808397,https://doi.org/10.1145/3805712.3808397
136,Method,Beyond Single Slot: Joint Optimization for Multi-Slot Guaranteed Display Advertising,"Zhaoqi Zhang, Jiaming Deng, Miao Xie, Linyou Cai, Qianlong Xie, Xingxing Wang, Siqiang Luo, Gao Cong",10.1145/3805712,10.1145/3805712.3808398,https://doi.org/10.1145/3805712.3808398
137,Method,Breaking the Relevance–Diversity Seesaw: Hierarchical LLM Reasoning with RL for Industrial Novelty Recommendation,"Ying Sun, Yanyan Zou, Xiao Wang, Hanchuan Xu, Xuanhua Yang, Sulong Xu, Junbo Qi, Shengjie Li",10.1145/3805712,10.1145/3805712.3808399,https://doi.org/10.1145/3805712.3808399
138,Method,Domain-Specific Reranking: When is Adaptation Worth the Cost?,"Tuukka Karvonen, Alessio Staffini, Kenichi Maeda, Menaka Arudchelvan, Tomomi Ozawa, Nami Tokunaga, Noriaki Hirokawa",10.1145/3805712,10.1145/3805712.3808400,https://doi.org/10.1145/3805712.3808400
139,Method,CS3: Efficient Online Capability Synergy for Two-Tower Recommendation,"Lixiang Wang, Shaoyun Shi, Peng Wang, Wenjin Wu, Peng Jiang",10.1145/3805712,10.1145/3805712.3808401,https://doi.org/10.1145/3805712.3808401
140,Method,Unified Semantic Modeling Framework for Large-Scale Job Understanding at LinkedIn,"Dan Xu, Baofen Zheng, Jianqiang Shen, Qi Xiao, Benjamin Hoan Le, Wen Pu, Saurabh Gupta, Ran Zhou, Neha Saraf, Alice Leung, Qianqi Shen, Liangjie Hong, Jingwei Wu, Wenjing Zhang",10.1145/3805712,10.1145/3805712.3808402,https://doi.org/10.1145/3805712.3808402
141,Method,"Full Retraining, Incremental Fine-tuning, and Hybrid Serving: Model Updating and Serving for Industrial Generative Recommender Systems","Lu Fan, Qijiong Liu, Zhongzhou Liu, Guoyuan An, Wei Guo, Yong Liu, Xiao-Ming Wu",10.1145/3805712,10.1145/3805712.3808403,https://doi.org/10.1145/3805712.3808403
142,Method,OxygenREC: An Instruction-Following Generative Framework for E-commerce Recommendation,"Zhiwei Zhang, Qingyang Li, Ming Zhang, Yanchen Qiao, Zhen Wang, Ziyang Ji, Xiangyu Qian, Shijie Yang, Yanlong Zang, Weijie Ding, Zhi Ma, Zhen Li, Yaqiang Zang, Pinghua Gong",10.1145/3805712,10.1145/3805712.3808404,https://doi.org/10.1145/3805712.3808404
143,Method,"Semantic IDs for Recommender Systems at Snapchat: Use Cases, Technical Challenges, and Design Choices","Clark Mingxuan Ju, Tong Zhao, Leonardo Neves, Liam Collins, Bhuvesh Kumar, Jiwen Ren, Lili Zhang, Wenfeng Zhuo, Wen Zhang, Xiao Bai, Jinchao Li, Karthik Iyer, Zihao Fan, Yilun Xu, Yiwen Chen, Peicheng Yu, Manish Malik, Neil Shah",10.1145/3805712,10.1145/3805712.3808405,https://doi.org/10.1145/3805712.3808405
144,Method,WeSEAL: <u>We</u> ll-calibrated <u>S</u> earch for <u>E</u> liminating <u>A</u> ttention-sink <u>L</u> eakage,"Juyuan Wang, Chenxing Wang, Aolin Li, Huiyun Hu, Yuchen Fang, Haijun Wu, Jin Xu, Dongliang Liao",10.1145/3805712,10.1145/3805712.3808406,https://doi.org/10.1145/3805712.3808406
145,Method,Calibrate Your Items! Train CTR Models in Two Steps for Robust Recommendations,"Yi Han, Jay Fleischman",10.1145/3805712,10.1145/3805712.3808407,https://doi.org/10.1145/3805712.3808407
146,Method,Building a Production Shopping Agent at Scale,"Chen Luo, Jason Choi, Ziwei Dong, Rahul Dua, Cong Xu, Xuejing Lei, Yuchen Yan, Xin Zhang, Josef Valvoda, Gaurang Sinkar, Binit Jha, Yi Liu, Monica Cheng",10.1145/3805712,10.1145/3805712.3808408,https://doi.org/10.1145/3805712.3808408
147,Method,Synthetic Data Powers Product Retrieval for Long-tail Knowledge-Intensive Queries in E-commerce Search,"Gui Ling, Weiyuan Li, Yue Jiang, Wenjun Peng, Xingxian Liu, Dongshuai Li, Fuyu Lv, Dan Ou, Haihong Tang",10.1145/3805712,10.1145/3805712.3808409,https://doi.org/10.1145/3805712.3808409
148,Method,RecGPT-Mobile: On-Device Large Language Models for User Intent Understanding in Taobao Feed Recommendation,"Bin Zhang, Weipeng Huang, Dimin Wang, Jialin Zhu, Yuning Jiang, Zhaode Wang, Chengfei Lv, Jian Wang, Qichao Ma, Li Chen, Junqing Wu, Yipeng Yu",10.1145/3805712,10.1145/3805712.3808410,https://doi.org/10.1145/3805712.3808410
149,Method,Uniboost: Global Coordination with Value Alignment for Fair and Efficient Traffic Allocation,"Ge Fan, Nan Zhao, Kai Meng, Cong Luo, Yang Fu, Huiping Chu, Jialin Liu, Yuning Jiang, Bo Zheng",10.1145/3805712,10.1145/3805712.3808411,https://doi.org/10.1145/3805712.3808411
150,Method,SCOPE: Scalable Cross-Task Orthogonal Progressive Experts for Multi-Task Learning in Recommendations,"Zixian Yang, Wei Xu, Li Li, Zhaokai Huang, You Li, Jianbin Lin, Wenliang Zhong, Can Ye",10.1145/3805712,10.1145/3805712.3808413,https://doi.org/10.1145/3805712.3808413
151,Method,Surface-Form Neural Sparse Retrieval: Robust Fuzzy Matching for Industrial Music Search,"Paul Greyson, Zhichao Geng, Wei Zhang, Yang Yang",10.1145/3805712,10.1145/3805712.3808414,https://doi.org/10.1145/3805712.3808414
152,Method,HybridSparse: An End-to-End Hybrid Framework for Efficient Large-Scale Retrieval,"Haotong Bao, Jianjin Zhang, Weihao Han, Xue Wu, Qi Chen, Dongzhe Jiang, Zhengxin Zeng, Mingzheng Li, Hao Sun, Weiwei Deng, Feng Sun, Qi Zhang",10.1145/3805712,10.1145/3805712.3808415,https://doi.org/10.1145/3805712.3808415
